id,cluster,category,numb_of_business,cheap,moderate,costly,expensive,checkin_count
1,1,Buffets and Dinners,55,26,29,0,0,5284
2,1,American,95,21,67,6,1,13912
3,1,Asian,51,15,34,2,0,4855
4,1,FastFood,84,66,17,0,1,8057
5,1,Italian,46,7,35,4,0,4048
6,1,Mexican,19,11,8,0,0,1962
7,1,Pubs,10,0,10,0,0,1850
8,1,Seafood,6,0,5,1,0,566
9,0,Buffets and Dinners,81,44,37,0,0,10641
10,0,American,112,43,61,8,0,16775
11,0,Asian,44,23,20,1,0,4692
12,0,FastFood,137,105,31,1,0,13398
13,0,Italian,39,17,21,1,0,2668
14,0,Mexican,35,20,15,0,0,3341
15,0,Pubs,16,2,14,0,0,2761
16,0,Seafood,6,1,5,0,0,566
17,2,Buffets and Dinners,38,23,15,0,0,2048
18,2,American,51,29,21,1,0,2712
19,2,Asian,34,20,14,0,0,1111
20,2,FastFood,57,53,4,0,0,1941
21,2,Italian,25,14,11,0,0,753
22,2,Mexican,16,9,7,0,0,826
23,2,Pubs,8,1,7,0,0,560
24,2,Seafood,6,1,5,0,0,313
25,3,Buffets and Dinners,139,77,56,6,0,14707
26,3,American,202,71,105,23,3,34808
27,3,Asian,87,44,43,0,0,7119
28,3,FastFood,174,140,34,0,0,13944
29,3,Italian,60,18,39,3,0,5867
30,3,Mexican,41,23,18,0,0,6331
31,3,Pubs,32,6,24,2,0,5909
32,3,Seafood,16,2,11,2,1,1518